,CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
2348,202348,0,42,Company Invited,2,8,Small Business,Male,3,1,Deluxe,5,Married,1,0,1,1,1,Manager,21272
2349,202349,0,60,Self Enquiry,3,13,Small Business,Male,2,1,Deluxe,3,Married,1,1,5,0,0,Manager,20220
2350,202350,0,32,Company Invited,1,19,Salaried,Female,3,4,Basic,4,Married,2,0,5,1,0,Executive,17743
2352,202352,0,36,Self Enquiry,1,7,Large Business,Female,3,5,Standard,5,Married,3,1,1,1,0,Senior Manager,25252
2353,202353,0,33,Self Enquiry,1,15,Small Business,Male,2,3,Basic,3,Married,1,0,1,0,1,Executive,17781
2354,202354,0,40,Self Enquiry,3,16,Large Business,Female,2,4,Deluxe,4,Married,1,0,5,1,1,Manager,21852
2357,202357,0,42,Company Invited,1,32,Small Business,Female,2,3,Standard,5,Married,4,1,3,0,0,Senior Manager,28191
2358,202358,0,35,Company Invited,3,14,Small Business,Female,3,4,Standard,3,Married,5,1,5,1,2,Senior Manager,25377
2359,202359,0,27,Self Enquiry,1,20,Salaried,Male,2,3,Basic,5,Married,2,1,4,1,0,Executive,17235
2360,202360,0,54,Company Invited,1,7,Salaried,Female,2,3,Standard,3,Married,1,0,5,0,1,Senior Manager,25502
2361,202361,0,44,Self Enquiry,1,8,Salaried,Female,3,1,Basic,3,Married,2,0,4,1,2,Executive,17011
2362,202362,1,19,Company Invited,1,16,Small Business,Female,3,4,Basic,4,Single,2,1,5,0,2,Executive,16859
2364,202364,0,54,Self Enquiry,1,9,Salaried,Male,2,3,Super Deluxe,3,Married,4,0,5,0,0,AVP,32779
2365,202365,0,31,Self Enquiry,1,17,Small Business,Male,3,3,Deluxe,5,Married,2,1,1,1,1,Manager,21833
2366,202366,0,31,Self Enquiry,1,30,Small Business,Female,3,4,Deluxe,5,Unmarried,2,0,5,1,0,Manager,21812
2367,202367,0,59,Self Enquiry,3,9,Salaried,Female,2,4,Deluxe,3,Single,6,0,3,0,0,Manager,20171
2369,202369,0,49,Self Enquiry,1,10,Small Business,Male,2,4,King,3,Married,3,0,3,0,1,VP,33711
2371,202371,1,48,Company Invited,3,30,Salaried,Male,3,5,Basic,3,Single,2,1,1,1,2,Executive,17559
2372,202372,1,27,Self Enquiry,3,8,Small Business,Female,3,5,King,4,Single,3,1,5,1,1,VP,17517
2373,202373,1,29,Company Invited,1,16,Salaried,Female,2,4,Basic,3,Unmarried,2,0,4,1,0,Executive,21623
2374,202374,1,48,Self Enquiry,1,21,Small Business,Female,3,3,Standard,3,Married,2,0,3,0,0,Senior Manager,33265
2375,202375,1,29,Self Enquiry,1,13,Large Business,Female,2,3,Basic,3,Married,4,1,4,1,0,Executive,31124
2376,202376,1,34,Self Enquiry,1,13,Salaried,Male,3,3,Deluxe,3,Married,2,0,3,0,0,Manager,17585
2377,202377,1,44,Self Enquiry,1,29,Small Business,Male,3,3,Basic,5,Single,1,0,3,0,2,Executive,33213
2378,202378,1,33,Self Enquiry,3,31,Small Business,Male,2,4,Standard,4,Unmarried,3,1,5,1,0,Senior Manager,23380
2379,202379,1,19,Self Enquiry,3,11,Salaried,Male,3,3,Standard,4,Single,1,1,4,1,0,Senior Manager,17994
2380,202380,1,23,Company Invited,3,7,Salaried,Female,2,3,Basic,4,Single,2,1,5,1,1,Executive,16223
2381,202381,1,25,Self Enquiry,1,9,Salaried,Male,2,3,Basic,5,Married,5,0,5,1,0,Executive,16118
2382,202382,1,26,Self Enquiry,1,13,Small Business,Female,2,4,Standard,5,Married,1,1,4,1,1,Senior Manager,17875
2383,202383,1,45,Self Enquiry,3,19,Small Business,Male,2,1,Super Deluxe,3,Single,7,1,3,1,0,AVP,33824
2384,202384,1,55,Company Invited,3,8,Salaried,Fe Male,2,4,Basic,3,Single,1,0,5,0,0,Executive,28577
2385,202385,1,21,Company Invited,3,24,Small Business,Female,3,3,Deluxe,3,Married,1,1,5,0,1,Manager,17625
2386,202386,1,46,Self Enquiry,1,28,Small Business,Male,3,3,Deluxe,3,Married,2,1,5,1,2,Manager,33789
2389,202389,1,59,Company Invited,1,20,Salaried,Fe Male,2,3,Standard,3,Unmarried,1,1,5,1,0,Senior Manager,25512
2391,202391,1,28,Self Enquiry,1,14,Salaried,Female,2,4,Basic,4,Single,2,0,4,0,1,Executive,17154
2392,202392,1,44,Self Enquiry,3,15,Salaried,Male,3,4,Basic,5,Married,4,0,1,1,2,Executive,34190
2395,202395,1,42,Company Invited,1,7,Salaried,Female,3,1,Standard,4,Single,2,0,3,1,0,Senior Manager,17372
2396,202396,1,43,Company Invited,1,8,Salaried,Male,3,3,Basic,3,Married,7,1,3,0,0,Executive,25231
2397,202397,1,36,Self Enquiry,2,15,Large Business,Female,2,3,Basic,3,Married,2,0,1,1,0,Executive,20410
2398,202398,1,44,Company Invited,3,7,Large Business,Male,3,3,Basic,3,Married,4,0,3,1,1,Executive,22978
2400,202400,1,51,Self Enquiry,3,30,Small Business,Female,2,4,Deluxe,4,Single,1,1,5,1,1,Manager,17838
2402,202402,1,29,Company Invited,1,8,Small Business,Male,2,4,Basic,5,Single,1,0,4,1,1,Executive,18339
2403,202403,1,28,Self Enquiry,1,7,Large Business,Male,3,4,Basic,5,Single,7,0,3,1,1,Executive,17080
2404,202404,1,25,Self Enquiry,1,15,Salaried,Male,2,3,Basic,5,Single,4,0,1,1,0,Executive,17096
2405,202405,1,32,Company Invited,1,9,Salaried,Female,2,3,Basic,3,Single,2,0,4,1,0,Executive,21209
2406,202406,1,45,Self Enquiry,3,7,Salaried,Male,3,4,Deluxe,5,Married,2,0,4,1,2,Manager,33061
2407,202407,1,39,Self Enquiry,1,8,Salaried,Female,3,3,Basic,5,Married,2,1,1,1,0,Executive,32123
2408,202408,1,58,Self Enquiry,1,8,Large Business,Female,3,4,Standard,3,Married,1,0,5,0,0,Senior Manager,17372
2412,202412,1,36,Self Enquiry,3,16,Small Business,Male,2,4,Standard,5,Married,1,0,5,0,0,Senior Manager,22094
2414,202414,1,28,Self Enquiry,1,13,Salaried,Male,3,3,Basic,5,Unmarried,4,1,3,0,2,Executive,21674
2415,202415,1,50,Company Invited,3,18,Salaried,Male,2,3,Deluxe,3,Single,4,1,3,1,1,Manager,31880
2416,202416,1,40,Self Enquiry,1,14,Small Business,Male,3,4,Basic,3,Unmarried,2,1,4,1,2,Executive,24094
2417,202417,1,52,Company Invited,3,13,Small Business,Female,3,3,Basic,3,Married,3,1,4,1,2,Executive,23446
2418,202418,1,30,Self Enquiry,1,8,Salaried,Male,3,3,Basic,4,Unmarried,2,0,3,0,0,Executive,26916
2420,202420,1,31,Self Enquiry,2,28,Salaried,Male,2,5,Basic,3,Married,2,0,1,0,1,Executive,24852
2421,202421,1,41,Company Invited,3,15,Salaried,Male,2,5,Super Deluxe,3,Married,1,0,5,1,1,AVP,21151
2422,202422,1,31,Self Enquiry,3,19,Small Business,Male,3,4,Deluxe,5,Married,6,1,1,1,0,Manager,17302
2423,202423,1,44,Self Enquiry,3,7,Salaried,Male,2,5,Deluxe,4,Single,7,0,3,0,1,Manager,17362
2424,202424,1,42,Company Invited,2,14,Salaried,Female,3,4,Basic,3,Married,7,0,5,1,1,Executive,32861
2425,202425,1,55,Self Enquiry,3,15,Small Business,Female,2,5,Basic,4,Single,2,0,1,1,1,Executive,34187
2428,202428,1,34,Company Invited,1,23,Large Business,Male,2,4,Basic,3,Married,1,1,5,1,1,Executive,23500
2432,202432,1,51,Self Enquiry,3,33,Salaried,Male,2,3,Deluxe,3,Single,2,1,5,1,1,Manager,29026
2433,202433,1,38,Company Invited,1,15,Salaried,Male,3,3,Deluxe,5,Married,5,0,3,0,2,Manager,21893
2434,202434,1,34,Self Enquiry,1,16,Small Business,Male,2,3,Deluxe,5,Single,2,0,4,0,0,Manager,21125
2436,202436,1,58,Self Enquiry,1,27,Small Business,Female,3,3,Deluxe,4,Married,5,0,3,1,1,Manager,25008
2437,202437,1,40,Self Enquiry,2,24,Salaried,Male,2,1,Basic,5,Married,1,0,1,1,1,Executive,17387
2439,202439,1,48,Self Enquiry,3,8,Small Business,Male,2,4,Deluxe,4,Unmarried,1,1,1,1,0,Manager,22898
2440,202440,1,27,Company Invited,1,30,Salaried,Male,3,4,Basic,3,Single,2,1,3,1,1,Executive,17534
2441,202441,1,51,Self Enquiry,3,16,Salaried,Female,3,3,Standard,4,Married,6,0,1,1,2,Senior Manager,28142
2442,202442,1,18,Self Enquiry,3,15,Small Business,Male,2,3,Basic,3,Single,2,0,5,0,1,Executive,16611
2443,202443,1,35,Self Enquiry,1,13,Salaried,Male,3,3,Basic,4,Single,2,1,3,1,1,Executive,20363
2444,202444,1,42,Self Enquiry,3,7,Salaried,Fe Male,4,4,Deluxe,3,Unmarried,2,1,2,1,1,Manager,24671
2445,202445,0,50,Company Invited,1,15,Salaried,Male,4,5,Deluxe,4,Divorced,3,0,3,1,3,Manager,23808
2446,202446,1,38,Self Enquiry,1,9,Free Lancer,Male,4,5,Basic,3,Single,8,1,3,0,1,Executive,20768
2447,202447,0,34,Company Invited,1,10,Salaried,Female,3,4,Basic,3,Divorced,3,1,5,1,2,Executive,21587
2448,202448,0,28,Self Enquiry,1,9,Small Business,Male,3,4,Basic,4,Divorced,2,0,5,1,1,Executive,22146
2449,202449,0,33,Company Invited,1,9,Salaried,Male,4,4,Basic,3,Unmarried,2,0,5,1,2,Executive,21746
2450,202450,0,60,Self Enquiry,1,10,Small Business,Female,3,3,Basic,5,Divorced,6,1,2,1,2,Executive,21348
2451,202451,0,31,Self Enquiry,1,31,Salaried,Male,4,4,Basic,3,Married,3,0,2,0,2,Executive,21371
2452,202452,0,39,Company Invited,1,30,Salaried,Male,3,5,Standard,3,Unmarried,2,0,3,0,1,Senior Manager,28204
2453,202453,0,37,Self Enquiry,1,34,Small Business,Male,4,4,Deluxe,3,Divorced,8,0,3,1,1,Manager,23915
2454,202454,0,36,Self Enquiry,1,23,Small Business,Male,3,3,Basic,4,Divorced,2,0,3,1,2,Executive,21104
2455,202455,0,30,Self Enquiry,1,22,Salaried,Female,3,5,Deluxe,3,Unmarried,2,1,3,0,1,Manager,22871
2456,202456,0,32,Self Enquiry,1,33,Salaried,Male,3,4,Basic,3,Married,3,0,3,0,2,Executive,21589
2457,202457,0,35,Self Enquiry,1,26,Small Business,Male,4,4,Basic,3,Married,2,0,3,0,3,Executive,21339
2458,202458,1,29,Self Enquiry,1,31,Salaried,Male,3,5,Basic,3,Single,7,1,2,0,1,Executive,20706
2459,202459,0,30,Self Enquiry,1,28,Salaried,Female,3,3,Standard,5,Married,3,0,5,1,2,Senior Manager,28658
2460,202460,0,33,Self Enquiry,1,12,Salaried,Male,4,3,Basic,4,Married,2,1,2,1,1,Executive,21976
2461,202461,0,23,Company Invited,1,23,Small Business,Male,4,3,Basic,3,Married,3,1,3,0,1,Executive,21613
2462,202462,0,54,Self Enquiry,3,9,Salaried,Female,4,5,Super Deluxe,3,Divorced,4,0,3,1,1,AVP,34105
2463,202463,0,39,Self Enquiry,1,9,Salaried,Male,3,4,Basic,3,Unmarried,7,1,4,0,2,Executive,22622
2464,202464,0,25,Company Invited,1,18,Salaried,Female,4,3,Deluxe,3,Married,2,0,3,1,3,Manager,22689
2465,202465,1,37,Self Enquiry,3,16,Salaried,Male,3,5,Deluxe,5,Unmarried,2,0,2,0,1,Manager,22085
2466,202466,0,35,Self Enquiry,1,14,Salaried,Female,3,4,Standard,4,Single,2,0,3,1,1,Senior Manager,30672
2468,202468,1,35,Self Enquiry,1,13,Small Business,Male,3,4,Basic,5,Unmarried,4,0,2,1,2,Executive,21638
2470,202470,1,33,Company Invited,1,23,Salaried,Female,4,6,Basic,5,Unmarried,3,1,4,1,3,Executive,22597
2471,202471,0,43,Self Enquiry,3,15,Small Business,Male,3,4,Deluxe,4,Divorced,2,0,3,0,2,Manager,25503
2472,202472,0,45,Self Enquiry,1,14,Small Business,Female,3,5,Standard,3,Divorced,5,0,4,1,1,Senior Manager,28926
2474,202474,0,34,Self Enquiry,1,9,Small Business,Male,4,4,Basic,3,Single,6,0,3,1,3,Executive,21174
2475,202475,0,45,Self Enquiry,1,17,Salaried,Male,3,4,Deluxe,3,Divorced,4,1,3,1,2,Manager,25143
2476,202476,0,31,Self Enquiry,1,16,Small Business,Male,3,5,Basic,3,Single,3,0,4,1,2,Executive,20884
2477,202477,1,40,Self Enquiry,3,12,Large Business,Male,3,4,Deluxe,3,Divorced,5,0,2,0,2,Manager,20764
2478,202478,1,25,Self Enquiry,1,7,Small Business,Male,4,4,Basic,3,Divorced,4,1,3,1,3,Executive,20971
2479,202479,0,44,Self Enquiry,1,9,Small Business,Female,4,3,Basic,3,Married,3,0,2,0,2,Executive,21323
2480,202480,1,51,Self Enquiry,3,10,Small Business,Male,3,5,Basic,3,Divorced,3,1,4,0,1,Executive,21361
2481,202481,0,36,Self Enquiry,3,9,Small Business,Female,4,4,Basic,3,Divorced,3,0,2,1,1,Executive,20692
2482,202482,0,37,Self Enquiry,1,12,Salaried,Female,3,5,Basic,5,Divorced,2,1,2,1,1,Executive,98678
2483,202483,0,34,Company Invited,3,7,Salaried,Female,3,3,Deluxe,5,Divorced,4,0,3,1,1,Manager,24054
2484,202484,0,36,Self Enquiry,1,11,Salaried,Male,4,4,Basic,3,Married,3,0,4,0,1,Executive,20629
2485,202485,0,28,Self Enquiry,1,9,Salaried,Female,3,4,Basic,5,Married,3,0,3,0,2,Executive,21019
2486,202486,1,27,Self Enquiry,1,32,Salaried,Male,3,6,Basic,3,Single,3,0,2,1,2,Executive,20971
2487,202487,0,28,Company Invited,3,15,Salaried,Male,3,4,Standard,3,Unmarried,3,0,2,1,1,Senior Manager,27404
2488,202488,0,31,Company Invited,1,7,Small Business,Female,3,4,Deluxe,3,Unmarried,3,0,3,1,1,Manager,22689
2489,202489,1,42,Self Enquiry,1,19,Large Business,Female,3,4,King,3,Divorced,3,0,4,1,1,VP,38223
2490,202490,0,35,Company Invited,3,30,Small Business,Male,4,4,Deluxe,3,Unmarried,2,0,5,1,2,Manager,23246
2491,202491,0,38,Self Enquiry,1,26,Salaried,Male,4,4,Basic,4,Divorced,6,0,4,1,2,Executive,21700
2492,202492,0,47,Company Invited,3,12,Small Business,Male,4,4,Deluxe,3,Unmarried,6,1,5,1,2,Manager,24450
2493,202493,0,36,Self Enquiry,1,15,Salaried,Male,3,3,Basic,3,Divorced,3,0,5,1,2,Executive,20947
2494,202494,1,49,Self Enquiry,1,7,Salaried,Male,4,5,Standard,3,Unmarried,2,1,5,0,3,Senior Manager,24059
2495,202495,1,29,Self Enquiry,1,12,Large Business,Male,3,4,Basic,3,Unmarried,3,1,2,1,1,Executive,22119
2496,202496,0,45,Self Enquiry,3,7,Small Business,Female,4,4,Deluxe,5,Married,7,1,2,0,1,Manager,24132
2497,202497,0,36,Company Invited,1,18,Small Business,Male,4,5,Standard,5,Divorced,4,1,5,1,2,Senior Manager,28562
2498,202498,0,27,Self Enquiry,3,30,Small Business,Female,3,5,Deluxe,3,Divorced,2,1,2,1,1,Manager,22835
2499,202499,0,34,Company Invited,1,7,Salaried,Female,4,4,Standard,3,Single,3,1,2,1,1,Senior Manager,32136
2500,202500,0,36,Company Invited,3,25,Salaried,Male,4,4,Standard,5,Divorced,3,0,4,1,1,Senior Manager,27747
2501,202501,0,36,Self Enquiry,1,30,Small Business,Female,2,4,Basic,5,Divorced,5,1,4,1,1,Executive,22692
2502,202502,0,32,Self Enquiry,1,14,Salaried,Male,3,4,Deluxe,3,Married,5,0,3,1,1,Manager,24593
2503,202503,0,38,Self Enquiry,1,7,Salaried,Male,3,5,Deluxe,3,Married,3,0,5,1,2,Manager,24671
2504,202504,0,33,Self Enquiry,1,7,Small Business,Male,3,4,Deluxe,3,Divorced,3,1,4,1,1,Manager,24840
2505,202505,0,39,Company Invited,1,36,Salaried,Female,3,4,Deluxe,3,Single,3,0,3,1,1,Manager,21084
2507,202507,0,60,Self Enquiry,3,32,Salaried,Fe Male,3,4,Standard,5,Unmarried,2,0,3,1,1,Senior Manager,26315
2508,202508,0,37,Self Enquiry,1,15,Large Business,Female,3,4,Standard,3,Married,3,0,4,1,2,Senior Manager,28774
2509,202509,0,56,Self Enquiry,1,15,Small Business,Female,3,4,Super Deluxe,3,Married,4,1,3,0,2,AVP,33434
2510,202510,0,37,Company Invited,1,18,Salaried,Male,4,5,Deluxe,4,Unmarried,3,0,4,1,2,Manager,25177
2511,202511,0,46,Self Enquiry,1,14,Salaried,Male,3,4,Standard,5,Married,4,0,3,1,2,Senior Manager,28402
2512,202512,0,36,Company Invited,1,7,Small Business,Male,4,4,Basic,5,Divorced,6,0,2,0,2,Executive,20872
2513,202513,1,37,Self Enquiry,1,16,Small Business,Male,4,5,Basic,3,Divorced,2,1,2,0,2,Executive,22066
2514,202514,0,60,Company Invited,3,7,Salaried,Fe Male,3,5,Deluxe,3,Unmarried,2,0,5,1,2,Manager,24151
2515,202515,0,30,Self Enquiry,1,9,Salaried,Male,4,4,Basic,4,Divorced,2,0,4,0,1,Executive,21381
2516,202516,0,32,Self Enquiry,1,7,Small Business,Male,3,4,Basic,4,Single,3,0,3,0,1,Executive,21179
2517,202517,0,33,Self Enquiry,1,7,Salaried,Male,4,4,Deluxe,4,Divorced,3,0,3,0,1,Manager,24898
2518,202518,0,37,Self Enquiry,1,13,Salaried,Female,3,3,Deluxe,3,Divorced,5,0,2,0,1,Manager,21716
2519,202519,0,32,Self Enquiry,1,15,Salaried,Female,4,4,Deluxe,3,Unmarried,3,0,5,0,2,Manager,23102
2520,202520,0,36,Self Enquiry,3,7,Small Business,Male,3,5,Deluxe,5,Unmarried,2,0,2,0,2,Manager,22990
2521,202521,0,46,Self Enquiry,1,13,Salaried,Male,3,4,Standard,5,Divorced,6,1,3,0,1,Senior Manager,31923
2522,202522,0,38,Self Enquiry,1,14,Small Business,Male,2,4,Standard,3,Single,6,0,2,0,1,Senior Manager,32342
2523,202523,0,47,Self Enquiry,2,12,Small Business,Male,4,4,Deluxe,4,Married,2,1,5,0,2,Manager,23699
2524,202524,0,31,Self Enquiry,1,7,Salaried,Male,3,5,Deluxe,3,Divorced,3,1,2,1,2,Manager,23804
2525,202525,0,36,Self Enquiry,1,7,Small Business,Male,2,5,Basic,3,Unmarried,3,0,4,1,1,Executive,21537
2526,202526,0,56,Self Enquiry,3,7,Salaried,Male,4,4,Standard,3,Divorced,5,0,2,0,2,Senior Manager,28917
2527,202527,0,39,Company Invited,1,13,Small Business,Female,4,6,Deluxe,3,Married,2,1,2,0,3,Manager,24007
2528,202528,0,35,Self Enquiry,1,7,Small Business,Male,4,4,Deluxe,4,Divorced,3,0,5,0,1,Manager,23003
2529,202529,0,57,Self Enquiry,1,14,Salaried,Male,3,6,Standard,3,Unmarried,6,0,2,0,1,Senior Manager,25938
2530,202530,0,24,Self Enquiry,3,9,Large Business,Male,4,4,Basic,5,Married,5,0,3,1,2,Executive,21000
2531,202531,0,52,Self Enquiry,1,16,Salaried,Male,4,4,Basic,3,Divorced,5,0,3,1,1,Executive,20753
2532,202532,0,31,Self Enquiry,1,9,Salaried,Male,3,5,Deluxe,3,Divorced,3,0,4,1,1,Manager,22830
2533,202533,1,47,Self Enquiry,3,16,Small Business,Male,4,5,Standard,3,Unmarried,3,0,5,0,2,Senior Manager,28297
2534,202534,0,41,Company Invited,1,7,Salaried,Male,4,5,Super Deluxe,4,Divorced,3,0,2,1,3,AVP,32181
2535,202535,0,52,Self Enquiry,3,28,Small Business,Male,4,4,Deluxe,3,Unmarried,2,1,5,1,2,Manager,24119
2536,202536,0,31,Self Enquiry,3,11,Small Business,Female,4,5,Deluxe,4,Married,3,1,3,1,2,Manager,23887
2537,202537,0,47,Company Invited,1,7,Small Business,Male,3,5,Standard,5,Divorced,4,1,2,1,2,Senior Manager,29351
2538,202538,0,33,Self Enquiry,3,13,Small Business,Male,3,4,Deluxe,3,Unmarried,3,0,5,1,1,Manager,23688
2539,202539,0,55,Self Enquiry,1,9,Large Business,Female,3,4,Standard,3,Divorced,2,0,4,1,1,Senior Manager,32227
2540,202540,0,25,Self Enquiry,3,10,Salaried,Female,3,4,Deluxe,3,Divorced,2,0,4,1,1,Manager,23677
2541,202541,0,29,Company Invited,3,11,Small Business,Male,3,4,Deluxe,3,Divorced,3,0,2,1,1,Manager,22899
2542,202542,0,59,Self Enquiry,3,17,Small Business,Male,3,4,Super Deluxe,3,Single,2,0,3,1,2,AVP,32550
2543,202543,0,45,Company Invited,1,30,Small Business,Male,4,4,Deluxe,4,Divorced,6,0,3,1,1,Manager,20720
2544,202544,1,38,Self Enquiry,2,13,Salaried,Male,4,4,Basic,5,Married,6,1,2,1,1,Executive,20751
2545,202545,0,33,Self Enquiry,1,7,Salaried,Male,4,4,Basic,5,Unmarried,3,0,2,0,3,Executive,21634
2546,202546,1,21,Company Invited,1,13,Salaried,Female,4,5,Basic,3,Unmarried,3,1,2,1,2,Executive,21604
2547,202547,0,35,Self Enquiry,1,13,Salaried,Female,3,4,Deluxe,3,Unmarried,3,0,3,1,1,Manager,23487
2548,202548,0,38,Company Invited,1,9,Salaried,Male,4,5,Deluxe,3,Married,7,0,2,0,2,Manager,23841
2551,202551,1,26,Self Enquiry,3,12,Small Business,Male,3,5,Deluxe,3,Unmarried,3,1,3,1,1,Manager,24422
2552,202552,0,26,Self Enquiry,1,14,Small Business,Male,4,5,Basic,3,Divorced,3,0,2,1,3,Executive,21567
2553,202553,0,23,Self Enquiry,1,22,Small Business,Female,3,4,Basic,3,Unmarried,3,0,2,1,2,Executive,21549
2554,202554,0,52,Company Invited,1,7,Small Business,Fe Male,2,5,Standard,5,Unmarried,5,0,2,1,1,Senior Manager,26162
2555,202555,1,35,Company Invited,1,14,Salaried,Male,4,6,Deluxe,3,Unmarried,3,1,5,1,2,Manager,24752
2557,202557,0,25,Self Enquiry,1,25,Salaried,Male,3,4,Basic,3,Divorced,2,0,4,1,1,Executive,21452
2558,202558,0,35,Self Enquiry,1,13,Salaried,Female,3,5,Deluxe,4,Married,8,0,3,0,2,Manager,23183
2559,202559,0,38,Self Enquiry,3,10,Salaried,Male,3,4,Standard,3,Unmarried,4,0,3,0,1,Senior Manager,26106
2560,202560,0,35,Self Enquiry,1,12,Small Business,Female,3,5,Standard,5,Single,4,0,2,0,1,Senior Manager,30309
2561,202561,0,37,Company Invited,3,18,Large Business,Female,4,4,Standard,3,Divorced,2,0,5,0,1,Senior Manager,28416
2562,202562,0,37,Self Enquiry,1,10,Salaried,Female,3,4,Basic,3,Married,7,0,2,1,1,Executive,21513
2564,202564,0,31,Company Invited,1,30,Salaried,Male,4,6,Basic,3,Married,3,0,3,1,3,Executive,21291
2565,202565,0,34,Company Invited,3,29,Small Business,Male,4,4,Deluxe,4,Divorced,2,0,2,0,2,Manager,24824
2566,202566,1,57,Self Enquiry,1,21,Salaried,Female,4,4,Basic,4,Divorced,2,1,5,1,2,Executive,23641
2568,202568,1,32,Self Enquiry,3,13,Salaried,Male,4,6,Deluxe,3,Divorced,6,1,3,1,2,Manager,24850
2569,202569,0,27,Self Enquiry,1,13,Salaried,Female,3,5,Basic,4,Divorced,3,0,3,1,1,Executive,21046
2570,202570,1,59,Self Enquiry,1,30,Small Business,Female,4,4,Standard,3,Divorced,3,0,3,1,1,Senior Manager,28990
2571,202571,1,20,Self Enquiry,3,29,Small Business,Male,3,4,Basic,3,Single,3,1,2,0,2,Executive,20353
2572,202572,0,23,Self Enquiry,1,9,Large Business,Male,4,4,Basic,3,Divorced,2,0,5,1,3,Executive,21201
2573,202573,0,50,Self Enquiry,1,27,Small Business,Female,4,4,Deluxe,5,Divorced,3,0,2,1,3,Manager,25245
2574,202574,0,44,Company Invited,1,35,Small Business,Female,4,3,Basic,3,Unmarried,6,0,3,0,3,Executive,23417
2575,202575,0,51,Company Invited,3,19,Small Business,Fe Male,4,4,Standard,3,Unmarried,6,0,5,0,1,Senior Manager,27886
2576,202576,1,32,Self Enquiry,3,27,Salaried,Female,4,6,Deluxe,3,Divorced,5,1,3,1,1,Manager,23237
2577,202577,0,42,Self Enquiry,3,16,Salaried,Male,4,4,Standard,3,Married,5,1,2,0,2,Senior Manager,26867
2578,202578,0,27,Self Enquiry,2,32,Salaried,Female,4,4,Basic,3,Divorced,3,0,4,1,1,Executive,21620
2579,202579,0,37,Self Enquiry,1,13,Small Business,Male,3,4,Deluxe,4,Married,8,0,4,1,2,Manager,23619
2580,202580,1,52,Company Invited,1,15,Salaried,Male,3,6,Standard,3,Single,4,0,2,0,2,Senior Manager,29328
2581,202581,0,40,Self Enquiry,3,11,Salaried,Female,3,5,Deluxe,3,Divorced,6,0,5,1,1,Manager,24580
2582,202582,0,26,Self Enquiry,3,35,Salaried,Male,3,5,Deluxe,3,Divorced,4,0,4,0,1,Manager,27317
2583,202583,0,31,Self Enquiry,2,16,Salaried,Male,3,4,Deluxe,3,Divorced,2,1,3,1,2,Manager,25025
2584,202584,1,33,Self Enquiry,1,16,Small Business,Female,3,4,Basic,5,Unmarried,2,0,4,1,2,Executive,22878
2585,202585,0,46,Self Enquiry,1,36,Small Business,Male,3,4,Basic,3,Unmarried,7,0,2,1,1,Executive,22130
2586,202586,0,39,Self Enquiry,1,10,Large Business,Female,3,4,Deluxe,3,Single,5,1,5,0,1,Manager,4678
2587,202587,0,31,Self Enquiry,1,25,Salaried,Female,4,4,Basic,3,Unmarried,3,0,2,1,1,Executive,21310
2588,202588,0,33,Company Invited,3,16,Small Business,Male,3,6,Deluxe,3,Married,2,0,2,0,2,Manager,23346
2589,202589,0,31,Self Enquiry,1,12,Large Business,Female,3,4,Basic,5,Married,7,0,5,1,2,Executive,21882
2590,202590,0,31,Self Enquiry,1,9,Small Business,Male,3,5,Basic,3,Unmarried,2,0,4,0,1,Executive,21398
2592,202592,0,42,Self Enquiry,1,16,Salaried,Male,4,4,Basic,5,Divorced,4,0,2,0,3,Executive,20916
2593,202593,0,20,Self Enquiry,1,10,Small Business,Female,4,4,Basic,4,Single,3,0,3,1,3,Executive,20161
2594,202594,0,41,Company Invited,1,33,Small Business,Female,3,4,Deluxe,4,Married,3,0,2,1,1,Manager,24283
2595,202595,0,36,Self Enquiry,3,7,Small Business,Male,4,4,Standard,4,Divorced,3,0,4,1,3,Senior Manager,25973
2596,202596,0,54,Self Enquiry,3,13,Small Business,Male,3,4,Deluxe,3,Divorced,4,1,5,0,1,Manager,20984
2597,202597,0,46,Self Enquiry,1,16,Salaried,Male,3,4,Deluxe,4,Married,2,0,4,1,1,Manager,21026
2598,202598,0,33,Company Invited,3,15,Small Business,Fe Male,3,4,Standard,3,Unmarried,3,0,4,1,2,Senior Manager,27676
2599,202599,0,30,Company Invited,1,7,Large Business,Male,3,4,Deluxe,3,Divorced,3,0,3,0,2,Manager,22997
2600,202600,0,52,Self Enquiry,1,14,Small Business,Male,3,5,Deluxe,3,Divorced,4,0,3,1,2,Manager,24810
2601,202601,0,59,Self Enquiry,1,16,Small Business,Female,4,5,Basic,4,Divorced,6,1,2,1,1,Executive,22024
2602,202602,0,41,Self Enquiry,3,11,Small Business,Male,4,5,Standard,3,Divorced,2,0,2,1,1,Senior Manager,29533
2603,202603,0,35,Company Invited,3,9,Small Business,Female,4,4,Basic,3,Divorced,8,0,5,1,3,Executive,20909
2604,202604,0,23,Self Enquiry,1,26,Small Business,Male,4,4,Basic,3,Divorced,3,0,2,0,2,Executive,21001
